Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Le,Apparent Density,Tissue Density,Unnamed: 1
Mrgpre_E01_M_total mean,,,1.7035025,1.02354875,0.67995375,39.77096574,0.6781325,4.59575,3.584378806,0.00182125,0.2645,0.1546375,0.31974125,0.21598125,0.10375625,0.22637125,0.17030625,1.897139876,1.21525389,1138.948325,1204.752225,Mrgpre_E01_CF.xlsx,Mrgpre,14.812,,,
Myo3a_E01_M_total mean,,,1.73688875,1.02448375,0.712405,40.843106,0.70976125,4.567125,3.585949765,0.00264375,0.384375,0.1616625,0.33699625,0.22722875,0.10976875,0.23956,0.17757375,1.892906883,1.231552232,1153.041725,1219.097888,Myo3a_E01_CF.xlsx,Myo3a,14.7,,,
Myo3b_E01_M_total mean,,,1.99634625,1.19334125,0.803005,40.16150943,0.80009,5.12975,3.868998469,0.002915,0.3635,0.1728,0.43906375,0.2980675,0.14099625,0.290095,0.21251625,2.052695584,1.32542657,1155.407975,1218.8804,Myo3b_E01_CF.xlsx,Myo3b,15.182,,,
Myo7b_E01_M_total mean,,,1.7137,1.04343,0.67027,38.98884658,0.6685175,4.514375,3.612517849,0.0017525,0.258875,0.15325,0.32045625,0.21421,0.10624375,0.22110875,0.1683425,1.908682448,1.245019197,1152.215225,1222.777838,Myo7b_E01_CF.xlsx,Myo7b,14.556,,,
Nek11_E01_M_total mean,,,1.69634125,1.01105,0.68529125,40.2354799,0.68307125,4.501125,3.563558491,0.00222,0.32525,0.1577,0.31614125,0.2121875,0.10395375,0.2246475,0.16978375,1.883729083,1.223971825,1140.54905,1206.787925,Nek11_E01_CF.xlsx,Nek11,14.696,,,
NES_E01_M_total mean,,14.675,1.69271875,1.009065,0.68365375,40.26433666,0.6817475,4.493125,3.560455354,0.00190625,0.277625,0.157625,0.3181075,0.2150425,0.10306375,0.2271525,0.1690475,1.889228238,1.218954611,1175.999975,1250.633975,Nes_E01_CF.xlsx,Nes,,,,
Neurl2_E01_E01_M_total mean,,,1.88575375,1.063215,0.82253875,43.52881313,0.82022625,4.808125,3.652665949,0.0023125,0.281375,0.18345,0.41438625,0.2780575,0.1363275,0.27936375,0.212,1.987887405,1.281958822,1169.1708,1229.902813,Neurl2_E01_CF.xlsx,Neurl2,14.916,,,
Nfatc4_E01_M_total mean,,,1.800564286,1.103978571,0.696585714,38.6390884,0.694947143,4.701285714,3.716617651,0.001638571,0.236,0.152885714,0.350105714,0.235285714,0.114817143,0.237787143,0.181572857,1.961467262,1.247684955,1132.1017,1195.733171,Nfatc4_E01_CF.xlsx,Nfatc4,14.64,,,
Nmb_E01_M_total mean,,,1.82617875,1.09155875,0.73462,40.20413594,0.73207625,4.723375,3.696267101,0.00254375,0.338,0.163075,0.36582875,0.24219125,0.12363625,0.24562375,0.18986625,1.96117343,1.288776415,1137.895675,1199.123563,Nmb_E01_CF.xlsx,Nmb,14.744,,,
Nmrk2_E01_M_total mean,,14.5625,1.60380375,0.9819325,0.62187125,38.70109774,0.62029,4.365625,3.510773205,0.00158125,0.255875,0.14625,0.2730925,0.18085125,0.09224125,0.19740875,0.1534025,1.827387817,1.200704275,,,Nmrk2_E01_CF.xlsx,Nmrk2,,1153.485375,1227.7105,
Npm3_E01_M_total mean,,,1.845265,1.07635375,0.76891125,41.68935954,0.76679625,4.79625,3.671436363,0.002115,0.275625,0.1701625,0.3871325,0.26339125,0.12374,0.26312375,0.1955975,1.990815822,1.258822716,1149.46615,1210.81585,Npm3_E01_CF.xlsx,Npm3,14.87,,,
NRCAM_E01_M_total mean,,14.78125,1.81477875,1.07330625,0.7414725,40.73329914,0.73885375,4.710875,3.668912836,0.00261875,0.3505,0.1661875,0.3663725,0.246,0.12037375,0.2505775,0.19087375,1.951655612,1.257043552,1172.563613,1242.72605,Nrcam_E01_CF.xlsx,Nrcam,,,,
Nrn1l_E01_M_total mean,,,1.74807375,0.99795,0.75012375,42.83067573,0.74774375,4.57625,3.538558536,0.00238,0.315,0.171975,0.3499375,0.2337625,0.116175,0.24789625,0.18670875,1.884022157,1.243088678,1154.981713,1217.69725,Nrn1l_E01_CF.xlsx,Nrn1l,14.754,,,
Nt5c1b_E01_M_total mean,,,1.733545714,1.063541429,0.670004286,38.56850748,0.668368571,4.564428571,3.654823253,0.001635714,0.243571429,0.150014286,0.319677143,0.213781429,0.105894286,0.223087143,0.173134286,1.913409344,1.223257398,1146.756843,1214.6337,Nt5c1b_E01_CF.xlsx,Nt5c1b,14.65828571,,,
