Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
A1cf_E01_F07_CV,7202,24.95,60,4.3241,229.5,136.4377,238.5469,822.6739,1.9056,0.4754,0.836,15.8531,35.4159,8.319217045,11.08453363,2.008,A1cf_E01_CV.xlsx,A1cf
A1cf_E01_F08_CV,7203,26.21,58.2,4.817,203.4,173.6548,245.437,826.8497,1.8802,0.4928,0.7607,16.9321,36.5653,9.005478141,12.2041949,1.7897,A1cf_E01_CV.xlsx,A1cf
Abca7_E01_F01_CV,11988,24.91,53.7,5.0959,188.6,174.0173,241.6091,799.8461,1.4797,0.3685,0.8755,13.4565,39.2441,9.094073123,12.10988121,1.8188,Abca7_E01_CV.xlsx,Abca7
Abca7_E01_F02_CV,11989,20.57,53.8,4.4292,227.3,156.6461,206.2539,777.1575,1.5481,0.3184,1.3672,11.9631,41.2858,7.727601576,9.728470359,1.8052,Abca7_E01_CV.xlsx,Abca7
Abca7_E01_F03_CV,11990,21.42,53.4,4.553,216.2,173.399,212.796,775.2087,1.534,0.3285,1.257,12.5963,41.9472,8.211408083,10.4490253,2.1372,Abca7_E01_CV.xlsx,Abca7
Abca7_E01_F04_CV,11991,22.55,57.8,4.1025,244.1,127.4495,212.6568,826.5017,2.0518,0.4627,0.9273,16.019,36.8661,7.807291159,10.08054874,1.9067,Abca7_E01_CV.xlsx,Abca7
Abca7_E01_F05_CV,11993,20.89,53.2,4.1835,235.7,155.3997,198.9462,801.934,1.4543,0.3038,1.1989,11.3093,40.7015,7.776456027,9.829900043,1.9371,Abca7_E01_CV.xlsx,Abca7
Abca7_E01_F06_CV,11994,21.45,52.2,4.4478,221.6,167.2434,210.0817,791.6336,1.5546,0.3335,1.0857,12.6514,41.2523,8.13804194,10.36065842,1.9073,Abca7_E01_CV.xlsx,Abca7
Abca7_E01_F07_CV,11995,17.99,50.4,3.9752,259.5,173.4792,183.8437,772.7729,1.4555,0.2619,1.3385,10.3741,43.9547,7.127516317,8.691437668,1.764,Abca7_E01_CV.xlsx,Abca7
Acap1_E01_F01_CV,12046,16.63,50.2,4.2568,232.4,133.3878,183.0781,783.2124,1.0271,0.1708,1.8823,6.7885,45.5507,6.609385649,7.92771225,1.8963,Acap1_E01_CV.xlsx,Acap1
Acap1_E01_F02_CV,12047,19.59,50.3,4.0698,251.6,200.784,199.7118,752.6594,1.407,0.2757,1.3671,10.7529,43.5316,7.642430704,9.504905861,1.7723,Acap1_E01_CV.xlsx,Acap1
Acap1_E01_F03_CV,12048,20.92,54.1,4.3541,228.1,146.1836,204.5836,809.868,1.5836,0.3313,1.1348,12.2772,40.3038,7.752715332,9.803721153,1.9806,Acap1_E01_CV.xlsx,Acap1
Acap1_E01_F04_CV,12049,22.08,53.8,4.8189,202.3,175.0289,219.7557,794.2087,1.4312,0.316,1.3474,11.7694,40.9179,8.223448854,10.55362267,1.9545,Acap1_E01_CV.xlsx,Acap1
Acap1_E01_F05_CV,12051,22.22,52.7,4.7462,207.6,176.2058,220.6604,804.0219,1.3507,0.3001,1.1593,11.2251,41.049,8.310579699,10.68446602,1.9926,Acap1_E01_CV.xlsx,Acap1
Acap1_E01_F06_CV,12052,23.98,56.1,4.535,221.1,194.9558,230.404,816.8277,1.6081,0.3857,1.0188,14.0042,39.103,8.708538026,11.45631545,1.9593,Acap1_E01_CV.xlsx,Acap1
Acap1_E01_F07_CV,12053,21.08,53.9,4.519,217.9,157.4504,210.8473,822.6042,1.8069,0.381,1.3041,14.2891,40.7483,7.908074603,10.02110947,1.9223,Acap1_E01_CV.xlsx,Acap1
Acap1_E01_F08_CV,12054,19.89,50.2,4.3545,234.5,223.1922,199.503,772.6337,1.2948,0.2576,1.354,10.1737,44.0319,7.857352487,9.808812187,1.7293,Acap1_E01_CV.xlsx,Acap1
Acsf2_E01_F01_CV,4455,22.46730886,53.4,4.39,226.3,160.8989,224.3491,824.9,2.1489,0.4828,0.9794,18.679,40.9151,8.692354228,11.21121181,1.8647,Acsf2_E01_CV.xlsx,Acsf2
Acsf2_E01_F02_CV,4456,20.48546166,51.6,4.3751,227.3,193.4203,208.3418,754.399,2.3524,0.4819,1.3786,19.3676,43.2758,8.233123618,10.35423684,1.7024,Acsf2_E01_CV.xlsx,Acsf2
Acsf2_E01_F03_CV,4457,30.04947051,63.3,4.9586,199.6,173.5364,279.0522,784.674,2.5874,0.7775,0.3779,25.1745,33.3337,9.729651387,13.90933201,1.8149,Acsf2_E01_CV.xlsx,Acsf2
Acsf2_E01_F04_CV,4458,26.23983086,58.6,4.4668,223.9,157.8831,249.5432,784.813,2.1757,0.5709,0.6579,19.5434,35.7507,8.982580319,12.17809073,1.9036,Acsf2_E01_CV.xlsx,Acsf2
Acsf2_E01_F05_CV,4460,26.53353057,58.4,4.31,236.9,180.7189,243.0011,790.172,2.028,0.5381,0.6067,18.7253,36.3351,9.233382643,12.56815894,1.8611,Acsf2_E01_CV.xlsx,Acsf2
Acsf2_E01_F06_CV,4461,27.9337653,60.5,4.4586,225.6,174.4688,266.5248,814.461,2.0835,0.582,0.6124,19.2169,34.5634,9.22337413,12.7984682,1.8057,Acsf2_E01_CV.xlsx,Acsf2
Acsf2_E01_F07_CV,4462,31.67391304,61.4,4.9922,202.2,195.8728,289.7702,804.369,2.3,0.7285,0.0805,23.4279,33.0703,10.18604348,14.907986,1.8658,Acsf2_E01_CV.xlsx,Acsf2
Acsf2_E01_F08_CV,4463,25.9927056,54.2,4.971,200.5,208.0428,250.6567,781.263,1.9467,0.506,0.7667,18.9337,39.4472,9.726049211,13.1420143,1.7531,Acsf2_E01_CV.xlsx,Acsf2
Acsm2_E01_F01_CV,9236,24.4,54.9,4.5763,217.1,191.3578,234.0231,785.0915,1.5312,0.3736,0.883,13.2915,38.6141,8.680446708,11.4819454,2.0793,Acsm2_E01_CV.xlsx,Acsm2
Acsm2_E01_F02_CV,9237,24.75,55.2,4.6673,210.8,195.1927,234.9974,791.564,1.7163,0.4248,0.811,15.5463,39.2458,9.058031813,12.03739837,1.9137,Acsm2_E01_CV.xlsx,Acsm2
Acsm2_E01_F03_CV,9238,18.63,49.3,4.5444,217,162.4502,191.8473,778.271,1.382,0.2575,1.4425,10.2105,44.5878,7.388205499,9.080035571,1.9903,Acsm2_E01_CV.xlsx,Acsm2
Acsm2_E01_F04_CV,9239,21.26,52.3,4.79,207.4,179.9397,216.3454,807.3625,1.4116,0.3001,1.2587,11.6106,42.5191,8.225134599,10.44588394,1.8954,Acsm2_E01_CV.xlsx,Acsm2
