Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Nup205_E01_F05_CV,1028,1.872,0.4074,15.5852,0.2176,8.32542735042735,40.9023,145.0315,1.3584,4.3769,55.5,222.89999999999998,15.8,100.3,2.0149,171.4654,833.044,Nup205_E01.xlsx,Nup205,Female
Nup205_E01_F06_CV,1029,1.9,0.4598,16.1945,0.242,8.52342105263158,37.1712,136.8433,1.071,4.3574,58.6,224.3,15.299999999999999,109.60000000000001,1.9714,188.4125,844.471,Nup205_E01.xlsx,Nup205,Female
Nup205_E01_F07_CV,1030,2.0557,0.4766,17.6091,0.2319,8.565987254949654,39.0723,147.885,1.0801,4.5719,56.800000000000004,211.7,15.8,80.60000000000001,1.8821,176.8576,816.675,Nup205_E01.xlsx,Nup205,Female
Nup205_E01_F08_CV,1031,1.9965,0.4091,14.8943,0.2049,7.460205359378913,39.2146,119.4617,1.3309,4.1922,55.5,237.4,14.1,98.19999999999999,2.0311,160.4241,847.167,Nup205_E01.xlsx,Nup205,Female
P3h1_E01_F01_CV,3874,2.525,0.5205,20.2988,0.2061,8.039128712871287,41.4759,152.5718,1.3282,4.3375,55.9,228.6,16.2,95.60000000000001,1.7463,155.8021,797.609,P3h1_E01.xlsx,P3h1,Female
P3h1_E01_F02_CV,3875,1.9394,0.4757,15.534,0.2453,8.009693719707126,34.0296,108.2807,0.7652,4.2534,63.8,241.4,17.9,112.19999999999999,2.0119,190.0815,852.88,P3h1_E01.xlsx,P3h1,Female
P3h1_E01_F03_CV,3876,2.1667,0.4499,17.3557,0.2076,8.010199843079336,40.9261,133.6124,1.2152,4.2767,55.1,230.6,14.3,90.7,1.9422,157.7921,816.739,P3h1_E01.xlsx,P3h1,Female
P3h1_E01_F04_CV,3877,2.2133,0.5483,18.9093,0.2477,8.54348710070935,36.124,138.4798,0.8011,4.3999,59.4,225.5,15.4,101.9,1.8176,186.4867,828.679,P3h1_E01.xlsx,P3h1,Female
P3h1_E01_F05_CV,3879,2.3283,0.5602,19.9681,0.2406,8.576257355151828,37.2377,151.3992,0.7871,4.1252,58.7,241.10000000000002,15.2,120.80000000000001,1.8551,183.7906,835.933,P3h1_E01.xlsx,P3h1,Female
P3h1_E01_F06_CV,3880,2.0998,0.4762,17.2574,0.2268,8.218592246880656,37.9452,133.5822,0.9545,3.9931,58,247.5,15.299999999999999,125,1.6843,175.317,837.345,P3h1_E01.xlsx,P3h1,Female
