Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Robo1_E01_M04_CV,2246,2.0445,0.527,20.5806,0.2578,10.066324284666177,41.5209,231.6013,1.0175,5.1848,53.5,191.3,14.8,106.80000000000001,1.816,189.6322,802.424,Robo1_E01.xlsx,Robo1,Male
Robo1_E01_M05_CV,2248,2.5037,0.6187,25.3595,0.2471,10.128809362144027,43.3209,224.1641,1.1847,5.5376,52.699999999999996,173.9,14.3,76.5,1.7235,193.0986,807.431,Robo1_E01.xlsx,Robo1,Male
Robo1_E01_M06_CV,2249,2.0588,0.4837,19.7735,0.2349,9.604381192927917,43.9713,212.1401,1.3806,5.5034,51.2,173.5,13.899999999999999,64.60000000000001,1.7223,184.2399,798.829,Robo1_E01.xlsx,Robo1,Male
Robo1_E01_M07_CV,2250,2.3778,0.6258,24.8604,0.2632,10.455210698965429,42.0491,228.9906,1.1566,5.6922,54,171.2,15.4,81.3,1.7873,206.4509,802.36,Robo1_E01.xlsx,Robo1,Male
Robo1_E01_M08_CV,2251,2.4158,0.5834,24.696,0.2415,10.22270055468168,45.1775,239.4675,1.3215,5.598,51.1,173.2,14.8,80.10000000000001,1.7777,193.6764,803.515,Robo1_E01.xlsx,Robo1,Male
Satb1_E01_M01_CV,4221,2.3962,0.7183,24.923,0.2998,10.401051665136466,36.0452,199.9035,0.9048,5.543,62.1,169.1,18,67.8,1.9354,237.4564,856.475,Satb1_E01.xlsx,Satb1,Male
Satb1_E01_M02_CV,4222,2.3425,0.5587,22.6586,0.2385,9.672828175026682,43.0612,210.0299,1.2571,5.2674,52.699999999999996,185.70000000000002,14.5,83.9,1.792,182.6351,809.421,Satb1_E01.xlsx,Satb1,Male
Satb1_E01_M03_CV,4223,2.2307,0.501,20.1347,0.2246,9.026180122831397,42.8631,178.1963,1.4139,5.013,53.699999999999996,195.8,15.4,86.7,1.8325,173.2628,833.429,Satb1_E01.xlsx,Satb1,Male
Satb1_E01_M04_CV,4224,2.0947,0.7113,22.1896,0.3396,10.593211438392132,31.9798,177.3493,0.3789,5.4925,67.3,167.8,19.8,73.1,1.99,266.0868,881.831,Satb1_E01.xlsx,Satb1,Male
Satb1_E01_M05_CV,4226,2.1934,0.4346,18.7691,0.1981,8.557080331904807,46.8592,159.8002,1.521,4.9914,48.5,193.89999999999998,14.5,69.4,1.8077,156.765,835.291,Satb1_E01.xlsx,Satb1,Male
Satb1_E01_M06_CV,4227,2.6633,0.5944,25.3653,0.2232,9.524011564600308,45.6909,192.0555,1.4681,5.391,50.6,177.3,13.700000000000001,66.5,1.7764,177.2428,806.917,Satb1_E01.xlsx,Satb1,Male
Satb1_E01_M07_CV,4228,2.5028,0.634,25.0639,0.2533,10.01434393479303,41.8241,201.7734,1.1206,5.4565,53.5,175.8,14.3,72.7,2.0074,199.4538,804.606,Satb1_E01.xlsx,Satb1,Male
Satb1_E01_M08_CV,4229,2.7323,0.9028,29.0075,0.3304,10.616513560004393,32.8902,168.5404,0.4333,5.7777,65.5,159.3,18.2,67.3,2.1244,265.1238,889.599,Satb1_E01.xlsx,Satb1,Male
Slain2_E01_M01_CV,1441,2.2523,0.7283,24.8701,0.3233,11.042090307685477,35.3881,222.4364,0.5948,6.0712,61.400000000000006,152.2,16.400000000000002,55.199999999999996,1.9167,257.7416,855.255,Slain2_E01.xlsx,Slain2,Male
Slain2_E01_M02_CV,1442,1.9212,0.4827,19.3673,0.2512,10.08083489485738,42.9307,222.2621,1.2289,5.5386,52.1,171.6,14.5,71.5,1.8727,198.6193,806.404,Slain2_E01.xlsx,Slain2,Male
Slain2_E01_M03_CV,1443,2.2476,0.6359,23.0733,0.2829,10.265750133475708,38.1577,203.5465,1.0676,5.7286,58.8,162.20000000000002,16.400000000000002,56.300000000000004,1.96,227.3138,856.539,Slain2_E01.xlsx,Slain2,Male
Slain2_E01_M04_CV,1444,2.0428,0.5588,20.725,0.2736,10.1453886822009,38.9468,194.0957,1.0649,5.5745,57.9,169,16.8,67,2.044,215.6306,848.322,Slain2_E01.xlsx,Slain2,Male
Slain2_E01_M05_CV,1446,2.2028,0.6245,23.2911,0.2835,10.57340657345197,39.2081,216.6605,0.8867,5.8306,56.5,163.20000000000002,16,64.60000000000001,1.9992,223.398,840.683,Slain2_E01.xlsx,Slain2,Male
Slain2_E01_M06_CV,1447,1.9012,0.4189,17.7348,0.2203,9.328213759730696,45.8935,200.931,1.4377,5.4641,49.4,173.7,13.6,58,1.7945,176.8576,782.267,Slain2_E01.xlsx,Slain2,Male
